index,image_path,n_true,median_diameter_px,n_pred_before,n_pred_after,rescued_markers,map_before,map_after,delta
0,data/raw/f6863b83d75e5927b30e2e326405b588293283c25aaef2251b30c343296b9cb1/images/f6863b83d75e5927b30e2e326405b588293283c25aaef2251b30c343296b9cb1.png,92,17.947829177145643,55,67,12,0.2954347858261351,0.2765272032944369,-0.018907582531698164
1,data/raw/ea00f5a91ca75e745d675201cc62d7db266f8e2787033e15a7dd5f1cc5c0ad72/images/ea00f5a91ca75e745d675201cc62d7db266f8e2787033e15a7dd5f1cc5c0ad72.png,40,12.716088854890051,36,40,4,0.7324846479847777,0.7220151532681903,-0.010469494716587424
2,data/raw/953211bcc0192e2298087d30e708dba68def9e0c13a3ff3326a18b0962c63adc/images/953211bcc0192e2298087d30e708dba68def9e0c13a3ff3326a18b0962c63adc.png,14,30.371103738829042,13,21,8,0.1574353472614342,0.11571948629790677,-0.041715860963527446
3,data/raw/1f9e429c12f4477221b5b855a5f494fda2ef6d064ff75b061ffaf093e91758c5/images/1f9e429c12f4477221b5b855a5f494fda2ef6d064ff75b061ffaf093e91758c5.png,77,9.440697438826296,62,71,9,0.4757687565911213,0.5240578609014961,0.04828910431037481
4,data/raw/eb1df8ed879d04b36980b0958a0e8fc446ad08c0bdcf3b5f42e3db023187c7e5/images/eb1df8ed879d04b36980b0958a0e8fc446ad08c0bdcf3b5f42e3db023187c7e5.png,59,19.899183360445615,43,47,4,0.311206899659265,0.3139151715220719,0.002708271862806866
5,data/raw/6f8197baf738986a1ec3b6ba92b567863d897a739376b7cec5599ad6cecafdfc/images/6f8197baf738986a1ec3b6ba92b567863d897a739376b7cec5599ad6cecafdfc.png,20,21.66072087164652,20,21,1,0.7678011643528885,0.7348563899868248,-0.03294477436606369
6,data/raw/6bd18a218d25247dc456aed124c066a6397fb93086e860e4d04014bfa9c9555d/images/6bd18a218d25247dc456aed124c066a6397fb93086e860e4d04014bfa9c9555d.png,46,12.437763051446822,40,45,5,0.6080142625923093,0.6216878436603137,0.013673581068004426
7,data/raw/3bfa8b3b01fd24a28477f103063d17368a7398b27331e020f3a0ef59bf68c940/images/3bfa8b3b01fd24a28477f103063d17368a7398b27331e020f3a0ef59bf68c940.png,82,15.262378632141685,54,69,15,0.10681250802995541,0.10899440067675932,0.002181892646803907
8,data/raw/9cbc0700317361236a9fca2eb1f8f79e3a7da17b1970c179cf453921a6136001/images/9cbc0700317361236a9fca2eb1f8f79e3a7da17b1970c179cf453921a6136001.png,7,10.092530088080641,4,6,2,0.33400793650793653,0.35929292929292933,0.0252849927849928
9,data/raw/1400420310c9094361a8a243545187f1d4c2365e081b3bb08c5fa29c7491a55b/images/1400420310c9094361a8a243545187f1d4c2365e081b3bb08c5fa29c7491a55b.png,25,16.88803298257901,25,33,8,0.2558860469252834,0.25185341818078466,-0.004032628744498723
10,data/raw/351771edfc5db5665ded8aa4940257276b6526663c76e3b60b92a52584d8943c/images/351771edfc5db5665ded8aa4940257276b6526663c76e3b60b92a52584d8943c.png,106,11.506722766818191,96,103,7,0.4864250923308105,0.4932049105530023,0.0067798182221918135
