index,image_path,map_50_95,n_true,n_pred,count_error,median_diameter_px,contact_fraction,mean_intensity,contrast_std,gt_merged,gt_split
32,data/raw/7f2b154541166210f468d89bb0a7184f10e51168a181dbb8b686c14654ffa317/images/7f2b154541166210f468d89bb0a7184f10e51168a181dbb8b686c14654ffa317.png,0.5558818104952078,102,81,21,10.217907939900583,0.017522057909780044,0.09056229144334793,0.05723416805267334,14,0
6,data/raw/6bd18a218d25247dc456aed124c066a6397fb93086e860e4d04014bfa9c9555d/images/6bd18a218d25247dc456aed124c066a6397fb93086e860e4d04014bfa9c9555d.png,0.6080142625923093,46,40,6,12.437763051446822,0.012878524190741385,0.04647791385650635,0.0650935024023056,6,0
41,data/raw/ac8169a0debed11560f3f0e246c05ea82d03c66346f1576cc8268554cb3f549f/images/ac8169a0debed11560f3f0e246c05ea82d03c66346f1576cc8268554cb3f549f.png,0.633979282366379,23,23,0,36.47650372840365,0.0064094004539991985,0.04210804030299187,0.035810209810733795,0,2
64,data/raw/1a75e9f15481d11084fe66bc2a5afac6dc5bec20ed56a7351a6d65ef0fe8762b/images/1a75e9f15481d11084fe66bc2a5afac6dc5bec20ed56a7351a6d65ef0fe8762b.png,0.6361111111111111,8,6,2,11.249534588329801,0.014686248331108143,0.053453635424375534,0.031235795468091965,0,0
46,data/raw/64eeef16fdc4e26523d27bfa71a1d38d2cb2e4fa116c0d0ea56b1322f806f0b9/images/64eeef16fdc4e26523d27bfa71a1d38d2cb2e4fa116c0d0ea56b1322f806f0b9.png,0.6434197949967077,90,85,5,10.186660221880098,0.018931101094655504,0.10535219311714172,0.12533804774284363,10,3
22,data/raw/53ad09e4348767bece0165884bf40c10b72ae18444e3f414a850442f02385efc/images/53ad09e4348767bece0165884bf40c10b72ae18444e3f414a850442f02385efc.png,0.6517785958080107,123,107,16,12.914889870235298,0.019938255724208903,0.03607405349612236,0.04951440542936325,17,1
57,data/raw/5f9d29d6388c700f35a3c29fa1b1ce0c1cba6667d05fdb70bd1e89004dcf71ed/images/5f9d29d6388c700f35a3c29fa1b1ce0c1cba6667d05fdb70bd1e89004dcf71ed.png,0.6551731637636258,148,128,20,12.100518486599809,0.02474561984466253,0.05239856243133545,0.06381363421678543,22,1
28,data/raw/1d5f4717e179a03675a5aac3fc1c862fb442ddc3e373923016fd6b1430da889b/images/1d5f4717e179a03675a5aac3fc1c862fb442ddc3e373923016fd6b1430da889b.png,0.6628571428571429,7,5,2,13.911592676604096,0.0,0.01696268655359745,0.027456536889076233,0,0
49,data/raw/c8ca945abc29d262a5525e4c2585541bba33fa77c86a47c94575d8e5b54c83fb/images/c8ca945abc29d262a5525e4c2585541bba33fa77c86a47c94575d8e5b54c83fb.png,0.6659100445843168,27,22,5,31.614759885488656,0.008536163340639058,0.04451431706547737,0.03436293825507164,4,0
35,data/raw/98a463483fe3a56deacc8bc00ab8aa62668bd40ad0c70bbe7deb10d3e4aeb0c0/images/98a463483fe3a56deacc8bc00ab8aa62668bd40ad0c70bbe7deb10d3e4aeb0c0.png,0.6718802261703296,125,109,16,12.463355264843006,0.02109181141439206,0.030328787863254547,0.04026308283209801,19,0
